1,4,0.15,0,7,11,0.035,96
76,5.5,0.55,1.5,12,13,0.04,98
38,6.25,0.35,2.25,9,14,0.0375,99
113,4.75,0.75,0.75,14,12,0.0425,97
20,5.875,0.85,2.625,13,12,0.03875,97.5
94,4.375,0.45,1.125,8,14,0.04375,99.5
57,5.125,0.65,0.375,15,15,0.03625,98.5
131,6.625,0.25,1.875,10,13,0.04125,96.5
10,6.8125,0.7,0.9375,9,11,0.039375,98.25
85,5.3125,0.3,2.4375,13,13,0.044375,96.25
48,4.5625,0.9,1.6875,11,14,0.036875,97.25
122,6.0625,0.5,0.1875,15,12,0.041875,99.25
29,4.9375,0.4,2.0625,12,12,0.035625,99.75
103,6.4375,0.8,0.5625,8,14,0.040625,97.75
66,5.6875,0.2,1.3125,14,15,0.038125,96.75
141,4.1875,0.6,2.8125,10,13,0.043125,98.75
6,5.59375,0.475,0.65625,11,12,0.044687,97.125
80,4.09375,0.875,2.15625,16,14,0.039688,99.125
43,4.84375,0.275,2.90625,9,13,0.042188,98.125
117,6.34375,0.675,1.40625,13,11,0.037188,96.125
24,4.46875,0.575,2.53125,15,13,0.040938,96.625
99,5.96875,0.175,1.03125,10,15,0.035938,98.625
62,6.71875,0.775,0.28125,12,14,0.043437,99.625
136,5.21875,0.375,1.78125,8,12,0.038437,97.625
15,5.40625,0.825,1.21875,10,12,0.040313,99.375
89,6.90625,0.425,2.71875,14,14,0.035313,97.375
52,6.15625,0.625,1.96875,7,13,0.042812,96.375
127,4.65625,0.225,0.46875,12,11,0.037812,98.375
34,6.53125,0.325,1.59375,15,13,0.044062,98.875
108,5.03125,0.725,0.09375,11,15,0.039063,96.875
71,4.28125,0.525,0.84375,13,14,0.041563,97.875
145,5.78125,0.925,2.34375,8,12,0.036563,99.875
3,6.39063,0.9125,2.01563,14,15,0.042344,99.5625
78,4.89063,0.5125,0.515625,10,13,0.037344,97.5625
41,4.14063,0.7125,1.26563,12,12,0.044844,96.5625
115,5.64063,0.3125,2.76563,7,14,0.039844,98.5625
22,5.26563,0.2125,0.890625,11,14,0.043594,98.0625
96,6.76563,0.6125,2.39063,15,12,0.038594,96.0625
59,6.01563,0.4125,1.64063,9,11,0.041094,97.0625
134,4.51563,0.8125,0.140625,13,13,0.036094,99.0625
13,4.70313,0.3625,2.95313,16,15,0.042969,97.8125
87,6.20313,0.7625,1.45313,11,13,0.037969,99.8125
50,6.95313,0.1625,0.703125,14,12,0.040469,98.8125
124,5.45313,0.5625,2.20313,9,14,0.035469,96.8125
31,5.82813,0.6625,0.328125,10,14,0.041719,96.3125
106,4.32813,0.2625,1.82813,15,12,0.036719,98.3125
69,5.07813,0.8625,2.57813,8,11,0.044219,99.3125
143,6.57813,0.4625,1.07813,12,13,0.039219,97.3125
8,4.79688,0.6375,1.73438,13,14,0.037656,98.6875
82,6.29688,0.2375,0.234375,9,12,0.042656,96.6875
45,5.54688,0.8375,0.984375,16,13,0.035156,97.6875
120,4.04688,0.4375,2.48438,11,15,0.040156,99.6875
27,6.67188,0.5375,1.35938,8,13,0.036406,99.1875
101,5.17188,0.9375,2.85938,12,11,0.041406,97.1875
64,4.42188,0.3375,2.10938,10,12,0.038906,96.1875
138,5.92188,0.7375,0.609375,14,14,0.043906,98.1875
17,6.10938,0.2875,2.29688,12,14,0.037031,96.9375
92,4.60938,0.6875,0.796875,7,12,0.042031,98.9375
55,5.35938,0.4875,0.046875,14,13,0.039531,99.9375
129,6.85938,0.8875,1.54688,9,15,0.044531,97.9375
36,4.23438,0.7875,0.421875,8,13,0.038281,97.4375
110,5.73438,0.3875,1.92188,13,11,0.043281,99.4375
73,6.48438,0.5875,2.67188,11,12,0.035781,98.4375
148,4.98438,0.1875,1.17188,15,14,0.040781,96.4375
2,5.99219,0.56875,1.14844,16,12,0.043516,97.3438
77,4.49219,0.16875,2.64844,11,14,0.038516,99.3438
39,5.24219,0.76875,1.89844,14,15,0.041016,98.3438
114,6.74219,0.36875,0.398438,9,13,0.036016,96.3438
21,4.11719,0.46875,1.52344,10,11,0.042266,96.8438
95,5.61719,0.86875,0.023438,15,13,0.037266,98.8438
58,6.36719,0.26875,0.773438,8,14,0.044766,99.8438
133,4.86719,0.66875,2.27344,12,12,0.039766,97.8438
11,5.05469,0.31875,0.585938,14,12,0.041641,99.0938
86,6.55469,0.71875,2.08594,10,14,0.036641,97.0938
49,5.80469,0.51875,2.83594,12,15,0.044141,96.0938
123,4.30469,0.91875,1.33594,7,13,0.039141,98.0938
30,6.92969,0.81875,2.46094,11,11,0.042891,98.5938
105,5.42969,0.41875,0.960938,15,13,0.037891,96.5938
67,4.67969,0.61875,0.210938,8,14,0.040391,97.5938
142,6.17969,0.21875,1.71094,13,12,0.035391,99.5938
7,4.39844,0.89375,1.05469,12,13,0.036328,96.4688
81,5.89844,0.49375,2.55469,7,15,0.041328,98.4688
44,6.64844,0.69375,1.80469,14,14,0.038828,99.4688
119,5.14844,0.29375,0.304688,9,12,0.043828,97.4688
25,5.52344,0.19375,2.17969,8,12,0.037578,97.9688
100,4.02344,0.59375,0.679688,13,14,0.042578,99.9688
63,4.77344,0.39375,1.42969,10,13,0.035078,98.9688
137,6.27344,0.79375,2.92969,15,11,0.040078,96.9688
16,6.46094,0.44375,0.117188,13,13,0.038203,98.2188
91,4.96094,0.84375,1.61719,9,15,0.043203,96.2188
53,4.21094,0.24375,2.36719,16,14,0.035703,97.2188
128,5.71094,0.64375,0.867188,11,12,0.040703,99.2188
35,5.33594,0.74375,2.74219,8,12,0.036953,99.7188
109,6.83594,0.34375,1.24219,12,14,0.041953,97.7188
72,6.08594,0.94375,0.492188,10,13,0.039453,96.7188
147,4.58594,0.54375,1.99219,14,11,0.044453,98.7188
4,5.19531,0.50625,2.41406,9,14,0.038984,98.7813
79,6.69531,0.90625,0.914063,13,12,0.043984,96.7813
42,5.94531,0.30625,0.164063,11,11,0.036484,97.7813
116,4.44531,0.70625,1.66406,16,13,0.041484,99.7813
23,6.32031,0.60625,0.539063,12,15,0.035234,99.2813
98,4.82031,0.20625,2.03906,8,13,0.040234,97.2813
60,4.07031,0.80625,2.78906,15,12,0.037734,96.2813
135,5.57031,0.40625,1.28906,10,14,0.042734,98.2813
14,5.75781,0.75625,1.85156,7,14,0.035859,96.5313
88,4.25781,0.35625,0.351563,12,12,0.040859,98.5313
51,5.00781,0.55625,1.10156,9,11,0.038359,99.5313
126,6.50781,0.15625,2.60156,14,13,0.043359,97.5313
32,4.63281,0.25625,1.47656,13,15,0.039609,97.0313
107,6.13281,0.65625,2.97656,8,13,0.044609,99.0313
70,6.88281,0.45625,2.22656,15,12,0.037109,98.0313
144,5.38281,0.85625,0.726563,11,14,0.042109,96.0313
9,6.78906,0.23125,2.88281,10,13,0.041172,99.9063
84,5.28906,0.63125,1.38281,14,11,0.036172,97.9063
46,4.53906,0.43125,0.632813,7,12,0.043672,96.9063
121,6.03906,0.83125,2.13281,12,14,0.038672,98.9063
28,4.91406,0.93125,0.257813,15,14,0.044922,98.4063
102,6.41406,0.53125,1.75781,11,12,0.039922,96.4063
65,5.66406,0.73125,2.50781,13,13,0.042422,97.4063
140,4.16406,0.33125,1.00781,9,15,0.037422,99.4063
18,4.35156,0.68125,1.94531,11,13,0.044297,97.6563
93,5.85156,0.28125,0.445313,16,11,0.039297,99.6563
56,6.60156,0.88125,1.19531,9,12,0.041797,98.6563
130,5.10156,0.48125,2.69531,14,14,0.036797,96.6563
37,6.22656,0.38125,0.820313,15,14,0.040547,96.1563
112,4.72656,0.78125,2.32031,10,12,0.035547,98.1563
74,5.47656,0.18125,1.57031,13,13,0.043047,99.1563
149,6.97656,0.58125,0.070313,8,15,0.038047,97.1563
2,6.98828,0.396875,1.72266,12,12,0.041758,96.6719
76,5.48828,0.796875,0.222656,7,14,0.036758,98.6719
39,4.73828,0.196875,0.972656,14,13,0.044258,99.6719
